Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
64446107,03/24/2025 11:33:07 PM,03/25/2025 12:45:11 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11210,1155 EAST   35 STREET,EAST   35 STREET,AVENUE J,AVENUE K,AVENUE J,AVENUE K,ADDRESS,BROOKLYN,EAST   35 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/25/2025 12:45:15 AM,18 BROOKLYN,3076170017,BROOKLYN,1000381,167347,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.625990681603746,-73.94188882855283,"(40.625990681603746, -73.94188882855283)"
64453126,03/24/2025 11:29:00 PM,03/25/2025 03:53:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10016,11 EAST   31 STREET,EAST   31 STREET,5 AVE,MADISON AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03/25/2025 03:53:00 PM,05 MANHATTAN,1008610010,MANHATTAN,988367,211140,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74620615004179,-73.98514193912169,"(40.74620615004179, -73.98514193912169)"
64454142,03/24/2025 11:25:22 PM,,DOE,Department of Education,School Maintenance,Rodents/Mice,School,10025,163 WEST   97 STREET,WEST   97 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST   97 STREET,,In Progress,,,,07 MANHATTAN,1018520099,MANHATTAN,992795,228715,ONLINE,P.S. 163 Alfred E. Smith,MANHATTAN,,,,,,,,40.794441772310265,-73.96913914902804,"(40.794441772310265, -73.96913914902804)"
64448747,03/24/2025 11:08:24 PM,03/24/2025 11:30:36 PM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10025,330 WEST   95 STREET,WEST   95 STREET,WEST END AVENUE,RIVERSIDE DRIVE,WEST END AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST   95 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/24/2025 11:30:39 PM,07 MANHATTAN,1012530041,MANHATTAN,991197,228948,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.79508269493676,-73.97491019376804,"(40.79508269493676, -73.97491019376804)"
64451190,03/24/2025 11:07:50 PM,03/25/2025 12:16:18 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10027,200 WEST  131 STREET,WEST  131 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  131 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/25/2025 12:16:22 AM,10 MANHATTAN,1019330050,MANHATTAN,999270,235411,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.81281181632886,-73.94573926927536,"(40.81281181632886, -73.94573926927536)"
64449941,03/24/2025 11:06:54 PM,03/25/2025 12:16:32 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10027,200 WEST  131 STREET,WEST  131 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  131 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/25/2025 12:16:35 AM,10 MANHATTAN,1019330050,MANHATTAN,999270,235411,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.81281181632886,-73.94573926927536,"(40.81281181632886, -73.94573926927536)"
64447516,03/24/2025 11:06:10 PM,03/24/2025 11:30:32 PM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10025,330 WEST   95 STREET,WEST   95 STREET,WEST END AVENUE,RIVERSIDE DRIVE,WEST END AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST   95 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/24/2025 11:30:36 PM,07 MANHATTAN,1012530041,MANHATTAN,991197,228948,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.79508269493676,-73.97491019376804,"(40.79508269493676, -73.97491019376804)"
64448744,03/24/2025 11:04:43 PM,03/25/2025 12:39:59 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10016,113 EAST   31 STREET,EAST   31 STREET,PARK AVENUE SOUTH,LEXINGTON AVENUE,PARK AVENUE SOUTH,LEXINGTON AVENUE,ADDRESS,NEW YORK,EAST   31 STREET,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,03/25/2025 12:40:03 AM,05 MANHATTAN,1008870010,MANHATTAN,989234,210661,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74489096895451,-73.98201333161907,"(40.74489096895451, -73.98201333161907)"
64451038,03/24/2025 10:49:27 PM,03/24/2025 11:07:38 PM,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10027,18 MT MORRIS PARK WEST,MT MORRIS PARK WEST,WEST  121 STREET,WEST  122 STREET,WEST  121 STREET,WEST  122 STREET,ADDRESS,NEW YORK,MOUNT MORRIS PARK WEST,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/24/2025 11:07:42 PM,11 MANHATTAN,1017190001,MANHATTAN,999341,232509,ONLINE,Marcus Garvey Park,MANHATTAN,,,,,,,,40.80484651053699,-73.94548930106254,"(40.80484651053699, -73.94548930106254)"
64454026,03/24/2025 10:47:43 PM,03/25/2025 04:30:36 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11210,1402 NEW YORK AVENUE,NEW YORK AVENUE,FOSTER AVENUE,FARRAGUT ROAD,FOSTER AVENUE,FARRAGUT ROAD,ADDRESS,BROOKLYN,NEW YORK AVENUE,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,03/25/2025 04:30:41 AM,17 BROOKLYN,3049950030,BROOKLYN,999420,171867,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63839881996175,-73.94534062467956,"(40.63839881996175, -73.94534062467956)"
